occupation_d,Productividad,Preparación para el trabajo y desplazamiento en el lugar de trabajo,Trabajo en el lugar de trabajo,Tiempo personal y familiar en el lugar de trabajo,Responsabilidades de cuidado y domésticas en el lugar de trabajo,Preparación para el trabajo y desplazamiento en el trabajo remoto,Trabajo en el trabajo remoto,Tiempo personal y familiar en el trabajo remoto,Responsabilidades de cuidado y domésticas en el trabajo remoto
Education Professionals,0,1.5,8.5,4.0,2.0,0.0,9.0,4.0,3.0
"Design, Engineering, Science and Transport Professionals",30,2.0,9.0,4.0,2.0,0.0,12.0,4.0,1.0
"Legal, Social and Welfare Professionals",30,1.5,11.0,2.0,1.0,0.0,10.0,3.0,2.0
"Chief Executives, General Managers and Legislators",10,1.0,8.0,6.0,1.0,0.0,9.0,5.0,2.0
Office Managers and Program Administrators,-20,2.0,8.0,2.0,2.0,1.0,8.5,2.0,2.0
Specialist Managers,10,4.5,7.5,2.0,0.0,0.0,8.0,5.0,1.0
Education Professionals,50,3.0,5.0,4.0,4.0,0.0,10.0,3.0,4.0
Specialist Managers,40,0.5,7.5,0.75,2.0,0.0,8.0,3.0,2.0
Arts and Media Professionals,40,1.0,7.0,1.0,0.0,0.0,8.0,2.0,1.0
ICT Professionals,0,3.0,7.5,1.0,1.0,0.0,7.5,2.0,2.0
Specialist Managers,20,1.0,7.0,3.0,3.0,0.0,8.0,3.0,3.0
